16,1024
2872077.81, 6952453.28, 5000.00
127922.19, 8047546.72, 5000.00
1030171.07, 8989920.23, 5000.00
1971212.78, 9988889.13, 5000.00
2875331.65, 10931248.80, 5000.00
125898.65, 12018093.64, 5000.00
1032857.05, 12947530.84, 5000.00
1989102.29, 13935904.92, 5000.00
2911508.03, 14880850.73, 5000.00
91881.48, 123712.25, 5000.00
1011221.10, 1066372.59, 5000.00
1966082.47, 2054545.37, 5000.00
2869289.35, 2981045.86, 5000.00
129409.67, 4071458.23, 5000.00
1029723.22, 5011384.92, 5000.00
1968847.67, 6010570.59, 5000.00
2867226.06, 6950506.20, 5000.00
132773.94, 8049493.80, 5000.00
1031152.33, 8989429.41, 5000.00
1970276.78, 9988615.08, 5000.00
2870590.33, 10928541.77, 5000.00
130710.65, 12018954.14, 5000.00
1033917.53, 12945454.63, 5000.00
1988778.90, 13933627.41, 5000.00
2908118.52, 14876287.75, 5000.00
95286.38, 128295.72, 5000.00
1011537.40, 1068645.05, 5000.00
1965034.12, 2056637.92, 5000.00
2864456.11, 2980167.66, 5000.00
134169.79, 4074183.77, 5000.00
1030649.05, 5011646.58, 5000.00
1967876.95, 6011073.70, 5000.00
2862356.07, 6948540.00, 5000.00
137643.93, 8051460.00, 5000.00
1032123.05, 8988926.30, 5000.00
1969350.95, 9988353.42, 5000.00
2865830.21, 10925816.23, 5000.00
135543.89, 12019832.34, 5000.00
1034965.88, 12943362.08, 5000.00
1988462.60, 13931354.95, 5000.00
2904713.62, 14871704.28, 5000.00
98706.91, 132899.97, 5000.00
1011846.35, 1070912.16, 5000.00
1963998.32, 2058747.29, 5000.00
2859601.27, 2979271.36, 5000.00
138949.00, 4076928.22, 5000.00
1031564.37, 5011895.37, 5000.00
1966917.12, 6011589.55, 5000.00
2857467.56, 6946554.31, 5000.00
142532.44, 8053445.69, 5000.00
1033082.88, 8988410.45, 5000.00
1968435.63, 9988104.63, 5000.00
2861051.00, 10923071.78, 5000.00
140398.73, 12020728.64, 5000.00
1036001.68, 12941252.71, 5000.00
1988153.65, 13929087.84, 5000.00
2901293.09, 14867100.03, 5000.00
102143.31, 137525.32, 5000.00
1012147.66, 1073173.60, 5000.00
1962975.51, 2060873.99, 5000.00
2854724.47, 2978356.54, 5000.00
143747.59, 4079691.93, 5000.00
1032468.80, 5012130.83, 5000.00
1965968.58, 6012118.62, 5000.00
2852560.24, 6944548.71, 5000.00
